"geneAcc","geneSym","logFC","FC","p.val.paired.ttest","adj.pvalue.FDR","significant","status.Live"
"13569962","RAB1B",-0.0955396983753687,0.935922062472664,0.354716890485699,0.391411741225598,"no","down"
"4504255","H2AFZ",0.582703540737825,1.49765315020333,0.126602116431342,0.160446246566454,"no","up"
"4504061","GNS",-0.733329456177083,0.601514134571986,0.0152077040857012,0.0294937291359053,"yes","down"
"618857509","MANF",-0.315849717755778,0.80337767841463,0.00468667870501014,0.0141651523088436,"no","down"
"5174735","TUBB4B",0.704749377725587,1.62986150372985,0.00187572864627998,0.00876434951636878,"yes","up"
"4502969","COMT",0.506258380637117,1.42036171659783,0.00871863473158615,0.0199524184154725,"yes","up"
"992319630","RPL6",1.56087547212001,2.95032824220277,0.00652048229119032,0.0172086955313889,"yes","up"
"374671775","SSBP1",0.0187032485615042,1.01304850232591,0.726261733270937,0.737789697291111,"no","up"
"5453555","RAN",-0.360808754643969,0.778727913310443,0.00161639709770518,0.00858567257586791,"no","down"
"4502297","ATP5D",0.347362214050511,1.27223238304132,0.0166221932941477,0.0310890470584492,"no","up"
"21624607","COTL1",-0.810535575947901,0.570170152688165,0.00267899866055835,0.0100856420162197,"yes","down"
"296317337","VDAC2",0.599614843858497,1.51531196982994,0.00248939659322131,0.00965584133128267,"yes","up"
"6005717","ATP5I",0.500450860769057,1.41465559137981,0.00213947269471441,0.00883395177172402,"yes","up"
"89145417","METTL7A",-0.0577113810128935,0.960787055402758,0.00989580343044827,0.0221672339472865,"no","down"
"94721354","MTHFD2",0.172482885405245,1.12699638307495,0.175555291809476,0.216068051457817,"no","up"
"19923821","DPYSL5",0.436933230416084,1.35372362571803,0.00659128775088962,0.0172180577982423,"yes","up"
"10800130","HIST1H2AD",0.121626918509442,1.08796105814278,0.604936833192959,0.621943089547781,"no","up"
"262527242","TAPBP",0.583040338419178,1.4980028186888,0.00159611249720049,0.00858567257586791,"yes","up"
