GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
10863927,18244648.2872002,11392490.6933594,11481034.7673277,5101164.07421875,8697239.00711674,5618710.07592773,10283011.6615429,5995852.15576172,6714556.19946808,2928053.04052734,4115560.24390495,2627805.90185547,11053551.114873,6587848.53344727,7690890.38913413,3048154.51342773,4961118.98464975,3124954.47009277
41399285,3267894.60062443,3913725.328125,1999767.61246103,4344150.3046875,5138908.75566347,6692614.12304688,1710946.23864922,2029631.046875,1030160.89044537,2346579.60498047,2608925.37506883,3400827.15966797,1537797.46279088,1904311.42773438,807164.044741726,2183069.61230469,2403384.08762996,3166770.01464844
4757810,1934453.07307252,2832011.96777344,1318324.85540037,2664339.27539063,3649391.40713275,5330336.53710938,1163496.95608204,1710190.87890625,766087.68761367,1469432.83886719,2137507.01270651,2896643.28808594,1076934.87785337,1610764.60644531,841957.77206273,1280210.46386719,1968653.59477218,2661749.57421875
119395750,1463162.7139642,1767184.52026367,1234052.34002003,930840.760864258,1966962.04857121,356247.197265625,1248917.66117241,1640133.82910156,789164.040194981,664043.210449219,1456533.02429062,241149.141479492,1300008.37605215,1780828.59765625,832080.376210767,650251.093261719,1645686.51582734,252516.461791992
195972866,887186.887821177,1109266.14086914,795500.696398565,624355.900024414,1019253.16509726,415072.117797852,1204854.41362648,1469194.49047852,1042613.20352934,843149.631835938,1405673.09411189,567467.523254394,1001298.6052414,1291240.33789063,1089023.84794721,769124.706542969,1314546.49682783,601331.599487305
42794752,582315.235514161,780910.626708984,488797.455010475,849445.756591797,1482354.13783262,2131086.79223633,372109.872288325,508071.772949219,306589.745489388,560279.992431641,1088274.92453657,1498363.54541016,457005.697006201,721161.240600586,416581.510986272,576042.414794922,1303809.32945785,1591912.55761719
88900491,1332360.49507784,1281938.59521484,1559523.75494868,1797833.39941406,1781661.1533272,1659989.93457031,645551.772724204,645385.487304688,757122.809469807,908627.74609375,864235.95147535,742228.8046875,425248.945761619,412306.870117188,589339.678970156,600665.634765625,498598.483518806,448007.577148438
62865635,2555466.00931103,3287216.58325195,1831417.8004717,2585272.34765625,9877000.13582552,9272043.15332031,1274242.19443998,1685930.60510254,919352.831131894,1270241.94506836,4852260.4664657,4768785.04785156,1673392.10462481,2249402.67260742,1257853.62282853,1578863.33349609,6979708.88305376,6543669.85693359
4557305,3927504.41360649,1946009.3112793,6466971.15366424,3570648.9140625,1279650.01111648,1239519.67041016,2183983.92511657,1150685.4387207,3032329.94163845,2047953.06396484,839747.354121019,741131.674316406,2298895.12592956,1265293.99194336,3388047.76745506,2093491.58544922,1027546.93150523,879020.56640625
574280091,878559.827804217,800269.836914063,837895.841886746,1302113.19140625,1056585.33697373,999785.913085938,1002328.84350537,927684.400878906,996838.41731126,1542975.12988281,1181034.0463539,1105533.63916016,809094.021004502,852915.927368164,903230.864895323,1283736.19628906,979964.883779521,914302.112792969
