GeneAcc,ProteinAcc,GeneSymbol
28178832,NP_002159.2,IDH2
256222019,NP_057215.3,RAB10
47086907,NP_060309.2,LPCAT2
14591909,NP_000960.2,RPL5
27894317,NP_776213.1,IL1RN
71773329,NP_001146.2,ANXA6
15431297,NP_000968.2; NP_150254.1,RPL13
19913446,NP_002134.2,HPCA
28416431,NP_056475.1,GIMAP2
779176942,NP_001292553.1,CALM2
4885371,NP_005309.1,H1F0
208022622,NP_001129064.1; NP_002945.1; NP_001170884.1,RPS27A
48255935,NP_000601.3,CD44
384081592,NP_001244900.1; NP_001244901.1; NP_001903.1; NP_666023.1,CTSL
115430223,NP_002297.2,LGALS3
4759098,NP_004584.1,TRA2B
32454741,NP_001226.2; NP_001193943.1,SERPINH1
19923315,NP_005403.2,SHMT2
40068518,NP_002622.2,PGD
544063423,NP_001269581.1,STIP1
50592994,NP_003320.2,TXN
4557323,NP_000031.1,APOC3
5031753,NP_005511.1; NP_001244222.1,HNRNPH1
156071459,NP_001143.2,SLC25A5
193804850,NP_660160.2,DHRSX
68163411,NP_001618.2,ALCAM
6598323,NP_001485.2,GDI2
17149844,NP_476433.1; NP_001128680.1; NP_004461.2,FKBP2
312922390,NP_001186143.1,STMN2
47132620,NP_000414.2,KRT2
4557014,NP_001743.1,CAT
4505621,NP_002558.1,PEBP1
13569962,NP_112243.1,RAB1B
15431288,NP_009035.3,RPL10A
4506455,NP_002892.1,RCN1
33457348,NP_061980.1,MYDGF
4504255,NP_002097.1,H2AFZ
4504061,NP_002067.1,GNS
618857509,NP_006001.4,MANF
5174735,NP_006079.1,TUBB4B
63252913,NP_001738.2; NP_001243068.1; NP_001307662.1; NP_001307661.1,CAPG
4502969,NP_000745.1; NP_001128633.1; NP_001128634.1,COMT
992319630,NP_001307066.1; NP_000961.2; NP_001019833.1; NP_001307067.1; NP_001307068.1; NP_001307069.1; NP_001307070.1,RPL6
374671775,NP_001243439.1; NP_003134.1; NP_001243440.1; NP_001243441.1; NP_001243442.1,SSBP1
4507115,NP_003079.1,FSCN1
222352151,NP_006187.2,PCBP1
4503529,NP_001407.1,EIF4A1
19743875,NP_000134.2,FH
5453555,NP_006316.1,RAN
4502297,NP_001678.1; NP_001001975.1,ATP5D
208879465,NP_001129166.1,VDAC3
21624607,NP_066972.1,COTL1
29788785,NP_821133.1,TUBB
10863895,NP_066926.1,TMSB10
38570101,NP_060222.2,TBC1D8B
296317337,NP_001171712.1,VDAC2
24308201,NP_065392.1,APMAP
4506629,NP_000983.1,RPL29
313569822,NP_001186284.1,RPL17-C18orf32
6005717,NP_009031.1,ATP5I
295849266,NP_001171488.1,DBI
66933016,NP_000875.2,IMPDH2
4501867,NP_001089.1,ACO2
148491070,NP_001896.2,CTPS1
4507869,NP_003361.1,VASP
4505701,NP_003672.1,PDXK
14110407,NP_112740.1,HNRNPDL
73486658,NP_002071.2,GOT2
46389550,NP_996925.1,ENSA
122937227,NP_001073884.1,U2SURP
4506691,NP_001011.1,RPS16
89145417,NP_054752.3,METTL7A
13129092,NP_076997.1,TMEM109
19743819,NP_391988.1,ITGB1
389886539,NP_001254507.1,TOR1AIP1
94721354,NP_006627.2,MTHFD2
4505813,NP_003737.1; NP_001032584.1; NP_001032583.1,DYNLL1
17149836,NP_463460.1; NP_000792.1,FKBP1A
19923821,NP_064519.2; NP_001240653.1; NP_001240652.1,DPYSL5
4502985,NP_001854.1,COX6B1
48526509,NP_001001563.1,TIMM50
5453704,NP_006398.1,ARL6IP5
151101407,NP_001092755.1,PTMA
14165469,NP_001010.2; NP_001025180.1,RPS15A
74272287,NP_004985.2,MMP9
13540600,NP_110435.1,NDEL1
6005757,NP_009123.1,SUPT16H
4506715,NP_001022.1,RPS28
